	Protein	Percentage_reloc_less
172	PEX21	92.43002544529261
173	YGR151C	92.44444444444444
174	SCH9	92.4901185770751
175	ULS1	92.6829268292683
176	YTA8	92.68707482993197
177	STB2	92.7299703264095
178	ESP2	92.81210592686003
179	FIG4	92.95499021526419
180	DDC2d0215r2	93.02943129010843
181	CMS1	93.06083650190115
182	CDC27	93.06569343065694
183	RAD51	93.09327036599764
184	SEC3	93.12354312354313
185	YIL108W	93.24324324324324
186	NAM7	93.3130699088146
187	YJR056C	93.33333333333333
188	MKT1	93.33333333333333
189	MSD1	93.34677419354838
190	DDC2d0221r1	93.4052757793765
191	RAD5d0223r1	93.4819897084048
192	EDC3	93.51351351351352
193	RAS1	93.52750809061489
194	HMG1	93.52941176470588
195	YAP1	93.5935935935936
196	MGS1	93.6842105263158
197	ECM3	93.7007874015748
198	AIM20	93.71316306483301
199	YKL060W	93.77431906614785
200	HNT3	93.83983572895276
201	UFD4	93.88646288209607
202	DCP2	93.90243902439023
203	TIS11	93.91891891891892
204	DDC2d0218r2p90KO	93.93939393939394
205	SPT21	93.96378269617706
207	PDR3	94.03973509933775
208	DMA2	94.04255319148936
209	LSM12	94.04444444444444
210	PPH21	94.11764705882352
211	YML108W	94.24083769633508
212	RQC2	94.29323968393327
213	ULP1	94.37291368621841
214	SAE2	94.375
215	DBF4	94.38058748403576
216	TSR3	94.39050701186623
217	GSY1	94.42793462109955
218	NMD4	94.6078431372549
219	AGR2	94.64668094218416
220	YMR160W	94.65824238943135
221	RPL15B	94.71698113207547
222	LSM7	94.79166666666666
223	UBC9	94.85541358439812
224	YKU70	94.92481203007519
225	STB4	94.94845360824742
226	YER064C	94.95548961424333
227	PPN1	94.9685534591195
228	VPS1	95.05222649807587
229	LAG1	95.079950799508
230	DDC2d013r1	95.10409517272936
231	SEC11	95.1114922813036
232	HOS2	95.1219512195122
233	YKU80	95.17593643586834
234	DDC2d0222r1	95.17998779743746
235	SVL3	95.19832985386222
236	PSY1	95.22842639593908
237	DDC2d0218r2p70KO	95.23809523809523
238	CCC1	95.25948103792416
239	DDC2d0218r2p50KO	95.28228924980665
240	PPH3	95.36423841059603
241	DDC2d0215r1	95.45913218970736
242	DSE1	95.48238897396631
243	RRP17d0210	95.5163043478261
244	PBP4	95.6140350877193
245	PSO2	95.61538461538461
246	PAT1	95.65217391304348
247	ARP4	95.78313253012048
248	YOF1	95.81151832460732
249	LST8	95.8955223880597
250	HMG2	96.0
251	DDC2d0218r2p40KO	96.10859728506787
252	PBP1	96.18055555555556
253	DPB11	96.19238476953907
254	PBP2	96.26168224299066
255	INO80	96.29684272646799
256	PHO81	96.35383414910974
